engine,adapter_kind,workload,durability_profile,dataset_size,iterations,mean_us,p50_us,p95_us,p99_us,throughput_per_s,disk_bytes,checkpoint_us,recovery_us,notes
sqlite_orm,embedded-orm,checkpoint,durable,large,3,170.504,141.013,141.013,141.013,5864.95,14438400,170.504,-1,""
sqlite_orm,embedded-orm,recovery,durable,large,3,323.026,302.836,302.836,302.836,3095.72,14438400,-1,323.026,""
sqlite_orm,embedded-orm,bulk_load_per_row_commit,durable,small,1000,3193.04,3193.04,3193.04,3193.04,313.181,106496,-1,-1,"one commit per row, contrast with bulk_load's single commit"
sqlite_orm,embedded-orm,mixed_read_write,durable,small,200,763.289,296.827,2757.81,3219.79,1310.12,106496,-1,-1,"80/20 read/write mix"
sqlite_orm,embedded-orm,small_durable_txn,relaxed,n/a,200,235.404,225.158,287.654,361.4,4248.02,28672,-1,-1,""
sqlite_orm,embedded-orm,bulk_load,relaxed,small,1000,9.60152,9.60152,9.60152,9.60152,104150,106496,-1,-1,""
sqlite_orm,embedded-orm,point_read,relaxed,small,300,212.706,195.149,233.529,278.342,4701.33,106496,-1,-1,""
sqlite_orm,embedded-orm,range_scan,relaxed,small,20,503.794,500.692,518.357,518.357,1984.94,106496,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite_orm,embedded-orm,checkpoint,relaxed,small,3,149.311,141.284,141.284,141.284,6697.43,106496,149.311,-1,""
sqlite_orm,embedded-orm,recovery,relaxed,small,3,324.713,306.828,306.828,306.828,3079.64,106496,-1,324.713,""
sqlite_orm,embedded-orm,bulk_load,relaxed,medium,10000,10.0552,10.0552,10.0552,10.0552,99450.8,3543040,-1,-1,""
sqlite_orm,embedded-orm,point_read,relaxed,medium,300,165.424,152.347,187.372,224.876,6045.08,3543040,-1,-1,""
sqlite_orm,embedded-orm,range_scan,relaxed,medium,10,6400.79,6276.64,6523.8,6523.8,156.231,3543040,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite_orm,embedded-orm,checkpoint,relaxed,medium,3,167.274,145.981,145.981,145.981,5978.22,3543040,167.274,-1,""
sqlite_orm,embedded-orm,recovery,relaxed,medium,3,332.331,311.416,311.416,311.416,3009.05,3543040,-1,332.331,""
sqlite_orm,embedded-orm,bulk_load,relaxed,large,20000,11.046,11.046,11.046,11.046,90530.3,14438400,-1,-1,""
sqlite_orm,embedded-orm,point_read,relaxed,large,300,172.064,151.477,215.685,401.431,5811.8,14438400,-1,-1,""
sqlite_orm,embedded-orm,range_scan,relaxed,large,4,17760.1,17120.9,17120.9,17120.9,56.306,14438400,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite_orm,embedded-orm,checkpoint,relaxed,large,3,184.23,148.366,148.366,148.366,5427.99,14438400,184.23,-1,""
sqlite_orm,embedded-orm,recovery,relaxed,large,3,348.752,328.034,328.034,328.034,2867.36,14438400,-1,348.752,""
sqlite_orm,embedded-orm,bulk_load_per_row_commit,relaxed,small,1000,191.672,191.672,191.672,191.672,5217.24,106496,-1,-1,"one commit per row, contrast with bulk_load's single commit"
sqlite_orm,embedded-orm,mixed_read_write,relaxed,small,200,190.428,171.025,334.423,380.716,5251.33,106496,-1,-1,"80/20 read/write mix"
lmdb,embedded-native,small_durable_txn,durable,n/a,200,829.401,730.799,1358.45,1606.07,1205.69,77824,-1,-1,""
lmdb,embedded-native,bulk_load,durable,small,1000,4.68831,4.68831,4.68831,4.68831,213296,155648,-1,-1,""
lmdb,embedded-native,point_read,durable,small,300,2.47456,2.406,2.684,3.873,404113,155648,-1,-1,""
lmdb,embedded-native,range_scan,durable,small,20,1066.75,1063.97,1084.87,1084.87,937.427,155648,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,durable,small,3,132.134,137.755,137.755,137.755,7568.07,155648,132.134,-1,""
lmdb,embedded-native,recovery,durable,small,3,41.062,33.156,33.156,33.156,24353.4,155648,-1,41.062,""
lmdb,embedded-native,bulk_load,durable,medium,10000,3.41762,3.41762,3.41762,3.41762,292601,4325376,-1,-1,""
lmdb,embedded-native,point_read,durable,medium,300,3.64525,3.123,5.27,12.725,274329,4325376,-1,-1,""
lmdb,embedded-native,range_scan,durable,medium,10,13410.8,12990.3,14374.9,14374.9,74.5669,4325376,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,durable,medium,3,1641.88,96.412,96.412,96.412,609.058,4325376,1641.88,-1,""
lmdb,embedded-native,recovery,durable,medium,3,42.3993,32.361,32.361,32.361,23585.3,4325376,-1,42.3993,""
lmdb,embedded-native,bulk_load,durable,large,20000,4.15103,4.15103,4.15103,4.15103,240904,18776064,-1,-1,""
lmdb,embedded-native,point_read,durable,large,300,4.55132,4.482,6.127,7.806,219717,18776064,-1,-1,""
lmdb,embedded-native,range_scan,durable,large,4,29856.1,29604.7,29604.7,29604.7,33.494,18776064,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,durable,large,3,1641.49,99.645,99.645,99.645,609.204,18776064,1641.49,-1,""
lmdb,embedded-native,recovery,durable,large,3,47.7307,34.409,34.409,34.409,20950.9,18776064,-1,47.7307,""
lmdb,embedded-native,bulk_load_per_row_commit,durable,small,1000,864.38,864.38,864.38,864.38,1156.9,184320,-1,-1,"one commit per row, contrast with bulk_load's single commit"
lmdb,embedded-native,mixed_read_write,durable,small,200,169.773,8.175,1173.43,1288.16,5890.2,184320,-1,-1,"80/20 read/write mix"
lmdb,embedded-native,small_durable_txn,relaxed,n/a,200,13.4776,11.183,20.194,32.434,74197.4,77824,-1,-1,""
lmdb,embedded-native,bulk_load,relaxed,small,1000,5.38898,5.38898,5.38898,5.38898,185564,155648,-1,-1,""
lmdb,embedded-native,point_read,relaxed,small,300,3.87808,3.765,4.353,6.035,257859,155648,-1,-1,""
lmdb,embedded-native,range_scan,relaxed,small,20,1295.43,1102.58,1669.24,1669.24,771.943,155648,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,relaxed,small,3,489.314,60.655,60.655,60.655,2043.68,155648,489.314,-1,""
lmdb,embedded-native,recovery,relaxed,small,3,43.0067,33.015,33.015,33.015,23252.2,155648,-1,43.0067,""
lmdb,embedded-native,bulk_load,relaxed,medium,10000,3.1797,3.1797,3.1797,3.1797,314496,4325376,-1,-1,""
lmdb,embedded-native,point_read,relaxed,medium,300,3.2026,2.948,4.501,5.54,312247,4325376,-1,-1,""
lmdb,embedded-native,range_scan,relaxed,medium,10,12434,12085.2,13341.7,13341.7,80.4246,4325376,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,relaxed,medium,3,2455.28,34.968,34.968,34.968,407.286,4325376,2455.28,-1,""
lmdb,embedded-native,recovery,relaxed,medium,3,39.91,31.588,31.588,31.588,25056.4,4325376,-1,39.91,""
lmdb,embedded-native,bulk_load,relaxed,large,20000,3.5197,3.5197,3.5197,3.5197,284115,18776064,-1,-1,""
lmdb,embedded-native,point_read,relaxed,large,300,4.61179,4.539,6.277,8.361,216836,18776064,-1,-1,""
lmdb,embedded-native,range_scan,relaxed,large,4,28234.1,28215,28215,28215,35.4182,18776064,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
lmdb,embedded-native,checkpoint,relaxed,large,3,4533.62,45.81,45.81,45.81,220.574,18776064,4533.62,-1,""
lmdb,embedded-native,recovery,relaxed,large,3,40.607,29.66,29.66,29.66,24626.3,18776064,-1,40.607,""
lmdb,embedded-native,bulk_load_per_row_commit,relaxed,small,1000,5.69215,5.69215,5.69215,5.69215,175681,184320,-1,-1,"one commit per row, contrast with bulk_load's single commit"
lmdb,embedded-native,mixed_read_write,relaxed,small,200,3.52506,2.695,7.075,8.912,283683,184320,-1,-1,"80/20 read/write mix"
rocksdb,embedded-native,small_durable_txn,durable,n/a,200,877.046,799.881,1312.63,1561.47,1140.19,66446,-1,-1,""
rocksdb,embedded-native,bulk_load,durable,small,1000,4.36367,4.36367,4.36367,4.36367,229165,158582,-1,-1,""
rocksdb,embedded-native,point_read,durable,small,300,6.17987,5.624,9.832,17.561,161816,158582,-1,-1,""
rocksdb,embedded-native,range_scan,durable,small,20,1542.94,1481.73,1844.95,1844.95,648.113,158582,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,durable,small,3,2261.88,12.73,12.73,12.73,442.11,156194,2261.88,-1,""
rocksdb,embedded-native,recovery,durable,small,3,12234.9,12494.1,12494.1,12494.1,81.7334,259741,-1,12234.9,""
rocksdb,embedded-native,bulk_load,durable,medium,10000,4.16801,4.16801,4.16801,4.16801,239923,3648530,-1,-1,""
rocksdb,embedded-native,point_read,durable,medium,300,6.72754,6.638,8.503,9.626,148643,3648530,-1,-1,""
rocksdb,embedded-native,range_scan,durable,medium,10,15893.6,15611.5,17023.8,17023.8,62.9186,3648530,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,durable,medium,3,9753.39,18.636,18.636,18.636,102.528,3587062,9753.39,-1,""
rocksdb,embedded-native,recovery,durable,medium,3,12114.7,11849.6,11849.6,11849.6,82.5446,3690636,-1,12114.7,""
rocksdb,embedded-native,bulk_load,durable,large,20000,5.37448,5.37448,5.37448,5.37448,186065,13630236,-1,-1,""
rocksdb,embedded-native,point_read,durable,large,300,7.25515,6.99,9.353,13.289,137833,13630236,-1,-1,""
rocksdb,embedded-native,range_scan,durable,large,4,32049,31200.4,31200.4,31200.4,31.2022,13630236,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,durable,large,3,26427.3,18.485,18.485,18.485,37.8397,13572791,26427.3,-1,""
rocksdb,embedded-native,recovery,durable,large,3,14544.7,13559.4,13559.4,13559.4,68.7538,13676350,-1,14544.7,""
rocksdb,embedded-native,bulk_load_per_row_commit,durable,small,1000,892.537,892.537,892.537,892.537,1120.4,177605,-1,-1,"one commit per row, contrast with bulk_load's single commit"
rocksdb,embedded-native,mixed_read_write,durable,small,200,209.198,16.11,1085.01,1552.5,4780.15,163191,-1,-1,"80/20 read/write mix"
rocksdb,embedded-native,small_durable_txn,relaxed,n/a,200,9.50121,8.902,12.745,18.497,105250,66446,-1,-1,""
rocksdb,embedded-native,bulk_load,relaxed,small,1000,3.92277,3.92277,3.92277,3.92277,254922,158582,-1,-1,""
rocksdb,embedded-native,point_read,relaxed,small,300,5.76251,5.373,8.091,12.046,173535,158582,-1,-1,""
rocksdb,embedded-native,range_scan,relaxed,small,20,1503.63,1486.88,1578.71,1578.71,665.058,158582,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,relaxed,small,3,1527.38,8.865,8.865,8.865,654.714,156194,1527.38,-1,""
rocksdb,embedded-native,recovery,relaxed,small,3,11440.1,11377,11377,11377,87.4116,259741,-1,11440.1,""
rocksdb,embedded-native,bulk_load,relaxed,medium,10000,4.89716,4.89716,4.89716,4.89716,204200,3648530,-1,-1,""
rocksdb,embedded-native,point_read,relaxed,medium,300,6.72222,6.542,8.363,11.493,148760,3648530,-1,-1,""
rocksdb,embedded-native,range_scan,relaxed,medium,10,16133.5,15574.6,16132.7,16132.7,61.9829,3648530,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,relaxed,medium,3,7522.26,24.748,24.748,24.748,132.939,3587062,7522.26,-1,""
rocksdb,embedded-native,recovery,relaxed,medium,3,11592.4,11402.8,11402.8,11402.8,86.2632,3690636,-1,11592.4,""
rocksdb,embedded-native,bulk_load,relaxed,large,20000,5.02979,5.02979,5.02979,5.02979,198815,13630236,-1,-1,""
rocksdb,embedded-native,point_read,relaxed,large,300,6.73414,6.64,8.282,9.018,148497,13630236,-1,-1,""
rocksdb,embedded-native,range_scan,relaxed,large,4,33731.1,32881.1,32881.1,32881.1,29.6462,13630236,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
rocksdb,embedded-native,checkpoint,relaxed,large,3,19543.2,17.659,17.659,17.659,51.1686,13572791,19543.2,-1,""
rocksdb,embedded-native,recovery,relaxed,large,3,11037.3,10902.4,10902.4,10902.4,90.6018,13676350,-1,11037.3,""
rocksdb,embedded-native,bulk_load_per_row_commit,relaxed,small,1000,10.5085,10.5085,10.5085,10.5085,95161.3,177605,-1,-1,"one commit per row, contrast with bulk_load's single commit"
rocksdb,embedded-native,mixed_read_write,relaxed,small,200,6.90482,5.513,13.219,20.105,144826,163191,-1,-1,"80/20 read/write mix"
